Rank,Gold,Silver,Bronze,Total,CY,NOC
71,0,0,1,1,2004,Mongolia
71,0,0,1,1,2004,Syria
71,0,0,1,1,2004,Trinidad and Tobago
1,48,22,30,100,2008,China
2,36,39,37,112,2008,United States
3,24,13,23,60,2008,Russia
4,19,13,19,51,2008,Great Britain
5,16,11,14,41,2008,Germany
6,14,15,17,46,2008,Australia
7,13,11,8,32,2008,South Korea
8,9,8,8,25,2008,Japan
9,8,9,10,27,2008,Italy
10,7,16,20,43,2008,France
11,7,5,4,16,2008,Netherlands
12,7,4,11,22,2008,Ukraine
13,6,4,6,16,2008,Kenya
14,5,11,3,19,2008,Spain
15,5,4,2,11,2008,Jamaica
16,4,5,2,11,2008,Poland
17,4,2,1,7,2008,Ethiopia
18,4,1,4,9,2008,Romania
19,3,10,17,30,2008,Cuba
20,3,9,8,20,2008,Canada
21,3,5,2,10,2008,Hungary
22,3,5,1,9,2008,Norway
23,3,4,10,17,2008,Brazil
24,3,4,7,14,2008,Belarus
25,3,3,1,7,2008,Czech Republic
26,3,3,0,6,2008,Slovakia
27,3,2,4,9,2008,New Zealand
28,3,2,2,7,2008,Georgia
29,2,3,4,9,2008,Kazakhstan
30,2,2,3,7,2008,Denmark
31,2,2,2,6,2008,North Korea
31,2,2,2,6,2008,Thailand
33,2,2,0,4,2008,Mongolia
34,2,1,4,7,2008,Switzerland
35,2,0,4,6,2008,Argentina
36,2,0,2,4,2008,Mexico
37,2,0,0,2,2008,Belgium
38,1,3,0,4,2008,Zimbabwe
39,1,2,2,5,2008,Slovenia
40,1,1,4,6,2008,Azerbaijan
40,1,1,4,6,2008,Indonesia
42,1,1,3,5,2008,Bulgaria
42,1,1,3,5,2008,Turkey
44,1,1,2,4,2008,Chinese Taipei
44,1,1,2,4,2008,Finland
46,1,1,1,3,2008,Latvia
47,1,1,0,2,2008,Dominican Republic
47,1,1,0,2,2008,Estonia
47,1,1,0,2,2008,Portugal
47,1,1,0,2,2008,Trinidad and Tobago
51,1,0,2,3,2008,India
52,1,0,1,2,2008,Iran
53,1,0,0,1,2008,Cameroon
53,1,0,0,1,2008,Panama
53,1,0,0,1,2008,Tunisia
56,0,4,1,5,2008,Sweden
57,0,3,2,5,2008,Lithuania
57,0,3,2,5,2008,Nigeria
59,0,2,3,5,2008,Croatia
60,0,2,1,3,2008,Colombia
60,0,2,1,3,2008,Greece
62,0,1,4,5,2008,Armenia
63,0,1,3,4,2008,Uzbekistan
64,0,1,2,3,2008,Austria
64,0,1,2,3,2008,Ireland
64,0,1,2,3,2008,Kyrgyzstan
64,0,1,2,3,2008,Serbia
68,0,1,1,2,2008,Algeria
68,0,1,1,2,2008,Bahamas
68,0,1,1,2,2008,Morocco
68,0,1,1,2,2008,Tajikistan
72,0,1,0,1,2008,Chile
72,0,1,0,1,2008,Ecuador
72,0,1,0,1,2008,Iceland
72,0,1,0,1,2008,Malaysia
72,0,1,0,1,2008,Samoa
72,0,1,0,1,2008,Singapore
72,0,1,0,1,2008,South Africa
72,0,1,0,1,2008,Sudan
72,0,1,0,1,2008,Vietnam
81,0,0,2,2,2008,Egypt
82,0,0,1,1,2008,Afghanistan
82,0,0,1,1,2008,Israel
82,0,0,1,1,2008,Mauritius
82,0,0,1,1,2008,Moldova
82,0,0,1,1,2008,Togo
82,0,0,1,1,2008,Venezuela
1,48,26,31,105,2012,United States
2,39,31,22,92,2012,China
3,29,18,18,65,2012,Great Britain
4,18,20,26,64,2012,Russia
5,13,9,9,31,2012,South Korea
6,11,20,13,44,2012,Germany
7,11,11,13,35,2012,France
8,8,15,12,35,2012,Australia
9,8,9,11,28,2012,Italy
10,8,4,6,18,2012,Hungary
11,7,14,17,38,2012,Japan
12,7,5,1,13,2012,Iran
13,6,6,8,20,2012,Netherlands
14,6,2,5,13,2012,New Zealand
15,5,4,10,19,2012,Ukraine
16,5,3,7,15,2012,Cuba
17,4,10,6,20,2012,Spain
18,4,5,4,13,2012,Jamaica
19,4,4,3,11,2012,Czech Republic
20,4,1,1,6,2012,South Africa
21,4,0,3,7,2012,North Korea
22,3,5,9,17,2012,Brazil
23,3,3,2,8,2012,Ethiopia
24,3,2,6,11,2012,Kazakhstan
24,3,2,6,11,2012,Poland
26,3,1,2,6,2012,Croatia
27,2,6,10,18,2012,Canada
28,2,5,3,10,2012,Belarus
29,2,4,7,13,2012,Kenya
30,2,4,3,9,2012,Denmark
31,2,4,1,7,2012,Romania
32,2,2,5,9,2012,Azerbaijan
33,2,2,0,4,2012,Switzerland
34,2,1,1,4,2012,Norway
35,2,0,3,5,2012,Lithuania
36,2,0,1,3,2012,Tunisia
37,1,4,3,8,2012,Sweden
38,1,3,5,9,2012,Colombia
39,1,3,4,8,2012,Mexico
40,1,2,3,6,2012,Georgia
41,1,1,4,6,2012,Ireland
42,1,1,2,4,2012,Argentina
42,1,1,2,4,2012,Serbia
42,1,1,2,4,2012,Slovenia
42,1,1,2,4,2012,Trinidad and Tobago
46,1,1,1,3,2012,Turkey
47,1,1,0,2,2012,Dominican Republic
48,1,0,1,2,2012,Chinese Taipei
48,1,0,1,2,2012,Latvia
50,1,0,0,1,2012,Algeria
50,1,0,0,1,2012,Bahamas
50,1,0,0,1,2012,Bahrain
50,1,0,0,1,2012,Grenada
50,1,0,0,1,2012,Uganda
50,1,0,0,1,2012,Venezuela
56,0,3,1,4,2012,Egypt
57,0,2,4,6,2012,India
58,0,2,3,5,2012,Mongolia
59,0,2,2,4,2012,Thailand
60,0,2,1,3,2012,Bulgaria
60,0,2,1,3,2012,Finland
60,0,2,1,3,2012,Indonesia
63,0,1,3,4,2012,Slovakia
64,0,1,2,3,2012,Belgium
65,0,1,1,2,2012,Armenia
65,0,1,1,2,2012,Estonia
65,0,1,1,2,2012,Malaysia
65,0,1,1,2,2012,Puerto Rico
65,0,1,1,2,2012,Qatar
70,0,1,0,1,2012,Botswana
70,0,1,0,1,2012,Cyprus
70,0,1,0,1,2012,Gabon
70,0,1,0,1,2012,Guatemala
70,0,1,0,1,2012,Montenegro
70,0,1,0,1,2012,Portugal
76,0,0,3,3,2012,Uzbekistan
77,0,0,2,2,2012,Greece
77,0,0,2,2,2012,Singapore
79,0,0,1,1,2012,Afghanistan
79,0,0,1,1,2012,Cameroon
79,0,0,1,1,2012,Hong Kong
79,0,0,1,1,2012,Kuwait
79,0,0,1,1,2012,Morocco
79,0,0,1,1,2012,Saudi Arabia
79,0,0,1,1,2012,Tajikistan
79,0,0,1,1,2012,Vietnam
1,46,37,38,121,2016,United States
2,27,23,17,67,2016,Great Britain
3,26,18,26,70,2016,China
4,19,17,20,56,2016,Russia
5,17,10,15,42,2016,Germany
6,12,8,21,41,2016,Japan
7,10,18,14,42,2016,France
8,9,3,9,21,2016,South Korea
9,8,12,8,28,2016,Italy
10,8,11,10,29,2016,Australia
11,8,7,4,19,2016,Netherlands
12,8,3,4,15,2016,Hungary
13,7,6,6,19,2016,Brazil
14,7,4,6,17,2016,Spain
15,6,6,1,13,2016,Kenya
16,6,3,2,11,2016,Jamaica
17,5,3,2,10,2016,Croatia
18,5,2,4,11,2016,Cuba
19,4,9,5,18,2016,New Zealand
20,4,3,15,22,2016,Canada
21,4,2,7,13,2016,Uzbekistan
22,3,2,3,8,2016,Colombia
23,3,2,2,7,2016,Switzerland
24,3,1,4,8,2016,Iran
25,3,1,2,6,2016,Greece
26,3,1,0,4,2016,Argentina
27,2,6,7,15,2016,Denmark
28,2,6,3,11,2016,Sweden
29,2,6,2,10,2016,South Africa
30,2,5,10,17,2016,Kazakhstan
31,2,5,4,11,2016,Ukraine
32,2,4,2,8,2016,Serbia
33,2,3,6,11,2016,Poland
34,2,3,2,7,2016,North Korea
35,2,2,2,6,2016,Belgium
35,2,2,2,6,2016,Thailand
37,2,2,0,4,2016,Slovakia
38,2,1,4,7,2016,Georgia
39,1,7,10,18,2016,Azerbaijan
40,1,4,4,9,2016,Belarus
41,1,3,4,8,2016,Turkey
42,1,3,0,4,2016,Armenia
43,1,2,7,10,2016,Czech Republic
44,1,2,5,8,2016,Ethiopia
45,1,2,1,4,2016,Slovenia
46,1,2,0,3,2016,Indonesia
47,1,1,2,4,2016,Romania
48,1,1,0,2,2016,Bahrain
48,1,1,0,2,2016,Vietnam
50,1,0,2,3,2016,Chinese Taipei
51,1,0,1,2,2016,Bahamas
51,1,0,1,2,2016,Independent Olympic AthletesD
51,1,0,1,2,2016,Ivory Coast
54,1,0,0,1,2016,Fiji
54,1,0,0,1,2016,Jordan
54,1,0,0,1,2016,Kosovo
54,1,0,0,1,2016,Puerto Rico
54,1,0,0,1,2016,Singapore
54,1,0,0,1,2016,Tajikistan
60,0,4,1,5,2016,Malaysia
61,0,3,2,5,2016,Mexico
62,0,2,1,3,2016,Venezuela
63,0,2,0,2,2016,Algeria
63,0,2,0,2,2016,Ireland
65,0,1,3,4,2016,Lithuania
66,0,1,2,3,2016,Bulgaria
67,0,1,1,2,2016,India
67,0,1,1,2,2016,Mongolia
69,0,1,0,1,2016,Burundi
69,0,1,0,1,2016,Grenada
69,0,1,0,1,2016,Niger
69,0,1,0,1,2016,Philippines
69,0,1,0,1,2016,Qatar
74,0,0,4,4,2016,Norway
75,0,0,3,3,2016,Egypt
75,0,0,3,3,2016,Tunisia
77,0,0,2,2,2016,Israel
78,0,0,1,1,2016,Austria
78,0,0,1,1,2016,Dominican Republic
78,0,0,1,1,2016,Estonia
78,0,0,1,1,2016,Finland
78,0,0,1,1,2016,Morocco
78,0,0,1,1,2016,Nigeria
78,0,0,1,1,2016,Portugal
78,0,0,1,1,2016,Trinidad and Tobago
78,0,0,1,1,2016,United Arab Emirates
1,39,41,33,113,2020,United States
2,38,32,19,89,2020,China
3,27,14,17,58,2020,Japan
4,22,20,22,64,2020,Great Britain
5,20,28,23,71,2020,ROC
6,17,7,22,46,2020,Australia
7,10,12,14,36,2020,Netherlands
8,10,12,11,33,2020,France
9,10,11,16,37,2020,Germany
10,10,10,20,40,2020,Italy
11,7,7,10,24,2020,Canada
12,7,6,8,21,2020,Brazil
13,7,6,7,20,2020,New Zealand
14,7,3,5,15,2020,Cuba
15,6,7,7,20,2020,Hungary
16,6,4,10,20,2020,South Korea
17,4,5,5,14,2020,Poland
18,4,4,3,11,2020,Czech Republic
19,4,4,2,10,2020,Kenya
20,4,2,2,8,2020,Norway
21,4,1,4,9,2020,Jamaica
22,3,8,6,17,2020,Spain
23,3,6,0,9,2020,Sweden
24,3,4,6,13,2020,Switzerland
25,3,4,4,11,2020,Denmark
26,3,3,2,8,2020,Croatia
27,3,2,2,7,2020,Iran
28,3,1,4,8,2020,Serbia
29,3,1,3,7,2020,Belgium
30,3,1,2,6,2020,Bulgaria
31,3,1,1,5,2020,Slovenia
32,3,0,2,5,2020,Uzbekistan
33,2,5,1,8,2020,Georgia
34,2,4,6,12,2020,Chinese Taipei
35,2,2,9,13,2020,Turkey
36,2,1,1,4,2020,Greece
36,2,1,1,4,2020,Uganda
38,2,1,0,3,2020,Ecuador
39,2,0,2,4,2020,Ireland
39,2,0,2,4,2020,Israel
41,2,0,1,3,2020,Qatar
42,2,0,0,2,2020,Bahamas
42,2,0,0,2,2020,Kosovo
44,1,6,12,19,2020,Ukraine
45,1,3,3,7,2020,Belarus
46,1,3,0,4,2020,Romania
46,1,3,0,4,2020,Venezuela
48,1,2,4,7,2020,India
49,1,2,3,6,2020,Hong Kong
50,1,2,1,4,2020,Philippines
50,1,2,1,4,2020,Slovakia
52,1,2,0,3,2020,South Africa
53,1,1,5,7,2020,Austria
54,1,1,4,6,2020,Egypt
55,1,1,3,5,2020,Indonesia
56,1,1,2,4,2020,Ethiopia
56,1,1,2,4,2020,Portugal
58,1,1,0,2,2020,Tunisia
59,1,0,1,2,2020,Estonia
59,1,0,1,2,2020,Fiji
59,1,0,1,2,2020,Latvia
59,1,0,1,2,2020,Thailand
63,1,0,0,1,2020,Bermuda
63,1,0,0,1,2020,Morocco
63,1,0,0,1,2020,Puerto Rico
66,0,4,1,5,2020,Colombia
67,0,3,4,7,2020,Azerbaijan
68,0,3,2,5,2020,Dominican Republic
69,0,2,2,4,2020,Armenia
70,0,2,1,3,2020,Kyrgyzstan
71,0,1,3,4,2020,Mongolia
72,0,1,2,3,2020,Argentina
72,0,1,2,3,2020,San Marino
74,0,1,1,2,2020,Jordan
74,0,1,1,2,2020,Malaysia
74,0,1,1,2,2020,Nigeria
77,0,1,0,1,2020,Bahrain
77,0,1,0,1,2020,Lithuania
77,0,1,0,1,2020,Namibia
77,0,1,0,1,2020,North Macedonia
77,0,1,0,1,2020,Saudi Arabia
77,0,1,0,1,2020,Turkmenistan
83,0,0,8,8,2020,Kazakhstan
84,0,0,4,4,2020,Mexico
85,0,0,2,2,2020,Finland
86,0,0,1,1,2020,Botswana
86,0,0,1,1,2020,Burkina Faso
86,0,0,1,1,2020,Ghana
86,0,0,1,1,2020,Grenada
86,0,0,1,1,2020,Ivory Coast
86,0,0,1,1,2020,Kuwait
86,0,0,1,1,2020,Moldova
86,0,0,1,1,2020,Syria
1,40,44,42,126,2024,United States
2,40,27,24,91,2024,China
3,20,12,13,45,2024,Japan
4,18,19,16,53,2024,Australia
5,16,26,22,64,2024,France
6,15,7,12,34,2024,Netherlands
7,14,22,29,65,2024,Great Britain
8,13,9,10,32,2024,South Korea
9,12,13,15,40,2024,Italy
10,12,13,8,33,2024,Germany
11,10,7,3,20,2024,New Zealand
12,9,7,11,27,2024,Canada
13,8,2,3,13,2024,Uzbekistan
14,6,7,6,19,2024,Hungary
15,5,4,9,18,2024,Spain
16,4,4,3,11,2024,Sweden
17,4,2,5,11,2024,Kenya
18,4,1,3,8,2024,Norway
19,4,0,3,7,2024,Ireland
20,3,7,10,20,2024,Brazil
21,3,6,3,12,2024,Iran
22,3,5,4,12,2024,Ukraine
23,3,4,2,9,2024,Romania
24,3,3,1,7,2024,Georgia
25,3,1,6,10,2024,Belgium
26,3,1,3,7,2024,Bulgaria
27,3,1,1,5,2024,Serbia
28,3,0,2,5,2024,Czech Republic
29,2,2,5,9,2024,Denmark
30,2,2,3,7,2024,Azerbaijan
30,2,2,3,7,2024,Croatia
32,2,1,6,9,2024,Cuba
33,2,1,1,4,2024,Bahrain
34,2,1,0,3,2024,Slovenia
35,2,0,5,7,2024,Chinese Taipei
36,2,0,3,5,2024,Austria
37,2,0,2,4,2024,Hong Kong
37,2,0,2,4,2024,Philippines
39,2,0,1,3,2024,Algeria
39,2,0,1,3,2024,Indonesia
41,1,5,1,7,2024,Israel
42,1,4,5,10,2024,Poland
43,1,3,3,7,2024,Kazakhstan
44,1,3,2,6,2024,Jamaica
44,1,3,2,6,2024,South Africa
44,1,3,2,6,2024,Thailand
–,1,3,1,5,2024,Individual Neutral AthletesAB
47,1,3,0,4,2024,Ethiopia
48,1,2,5,8,2024,Switzerland
49,1,2,2,5,2024,Ecuador
50,1,2,1,4,2024,Portugal
51,1,1,6,8,2024,Greece
52,1,1,1,3,2024,Argentina
52,1,1,1,3,2024,Egypt
52,1,1,1,3,2024,Tunisia
55,1,1,0,2,2024,Botswana
55,1,1,0,2,2024,Chile
55,1,1,0,2,2024,Saint Lucia
55,1,1,0,2,2024,Uganda
59,1,0,2,3,2024,Dominican Republic
60,1,0,1,2,2024,Guatemala
60,1,0,1,2,2024,Morocco
62,1,0,0,1,2024,Dominica
62,1,0,0,1,2024,Pakistan
64,0,3,5,8,2024,Turkey
65,0,3,2,5,2024,Mexico
66,0,3,1,4,2024,Armenia
66,0,3,1,4,2024,Colombia
68,0,2,4,6,2024,Kyrgyzstan
68,0,2,4,6,2024,North Korea
70,0,2,2,4,2024,Lithuania
71,0,1,5,6,2024,India
72,0,1,3,4,2024,Moldova
73,0,1,1,2,2024,Kosovo
74,0,1,0,1,2024,Cyprus
74,0,1,0,1,2024,Fiji
74,0,1,0,1,2024,Jordan
74,0,1,0,1,2024,Mongolia
74,0,1,0,1,2024,Panama
79,0,0,3,3,2024,Tajikistan
80,0,0,2,2,2024,Albania
80,0,0,2,2,2024,Grenada
80,0,0,2,2,2024,Malaysia
80,0,0,2,2,2024,Puerto Rico
84,0,0,1,1,2024,Cape Verde
84,0,0,1,1,2024,Ivory Coast
84,0,0,1,1,2024,Peru
84,0,0,1,1,2024,Qatar
84,0,0,1,1,2024,Refugee Olympic Team
84,0,0,1,1,2024,Singapore
84,0,0,1,1,2024,Slovakia
84,0,0,1,1,2024,Zambia
